estrategia,esperança,variancia,R1(%),R2(%),R3(%),R4(%),R5(%),R6(%),R7(%),R8(%),>=1(%),>=2(%),>=3(%),>=4(%),>=5(%),>=6(%),>=7(%),>=8(%),>=9(%),>=10(%),>=11(%),>=12(%),>=13(%),>=14(%),>=15(%),>=16(%),>=17(%),>=18(%),>=19(%),>=20(%),>=21(%),>=22(%),>=23(%),>=24(%)
0000000,3.37037201034996,1.9504659694092066,100,0,0,0,0,0,0,0,98.74208847875246,91.41601177900684,72.74916834805495,45.570244312589026,20.837423440315035,6.433028564302674,1.1898288294341626,0.09924328458151876,6.694341159629857e-05,5.045571370487778e-05,2.9392679650186437e-05,1.258841794538057e-05,3.7788760920420827e-06,7.471656857660491e-07,8.711423049589939e-08,4.532026309789217e-09,2.710009994189022e-11,1.3912426766182762e-11,4.675371201301459e-12,9.805489753489383e-13,5.684341886080802e-14,-8.526512829121202e-14,-1.1368683772161603e-13,-1.1368683772161603e-13,
1000000,3.5857129843232527,1.7635264315726769,76.7431960638622,23.256803936137793,0,0,0,0,0,0,99.70744998381338,95.10541054458814,78.9161427102126,51.416889961319725,24.232346629704054,7.639669981167756,1.432647986415816,0.12055695846132153,7.18860625141815e-05,5.671625864067664e-05,3.436131996181757e-05,1.5091597646232913e-05,4.593906297145622e-06,9.148239001888214e-07,1.070362571908845e-07,5.5778315299903625e-09,3.3452351999585517e-11,1.7195134205394424e-11,5.8122395785176195e-12,1.2647660696529783e-12,1.2789769243681803e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
1100000,3.635794412434389,1.7067575368298513,76.7431960638622,17.84801464289825,5.408789293239543,0,0,0,0,0,99.93196221632034,95.96344678192168,80.35038384641149,52.77663287668575,25.021897259642742,7.920296209700311,1.4891199616744188,0.12551383780713365,7.303556513704734e-05,5.817226129067876e-05,3.551686688751943e-05,1.5673757218337414e-05,4.78345626220289e-06,9.53815828097504e-07,1.1166947899710067e-07,5.821050308441045e-09,3.4930280889966525e-11,1.794830950530013e-11,6.0680349633912556e-12,1.3216094885137863e-12,1.2789769243681803e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
1110000,3.6474417519786146,1.6928359303662628,76.7431960638622,17.84801464289825,4.15087777199201,1.2579115212475338,0,0,0,0,99.98417658604713,96.16299858733935,80.68394249542871,53.092865620547954,25.20552150162412,7.985560901463501,1.5022535382391595,0.1266666495179436,7.330290272022921e-05,5.851088099007029e-05,3.5785610180028016e-05,1.580914896237573e-05,4.827539541452097e-06,9.628841155517875e-07,1.1274703126673558e-07,5.877637931916979e-09,3.5285552257846575e-11,1.814726147131296e-11,6.139089236967266e-12,1.3500311979441904e-12,1.4210854715202004e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
1111000,3.6501505509001895,1.689559321753892,76.7431960638622,17.84801464289825,4.15087777199201,0.9653615050609065,0.29255001618662724,0,0,0,99.99631997964097,96.20940795947635,80.76151757644266,53.166411249769865,25.248226631560954,8.0007393828664,1.5053079883906406,0.12693475667727228,7.336507688648908e-05,5.8589633098904415e-05,3.584811128121146e-05,1.5840636734765212e-05,4.837791905742961e-06,9.649931058675065e-07,1.1299763968963816e-07,5.890782972528541e-09,3.5356606531422585e-11,1.8189894035458565e-11,6.16751094639767e-12,1.3500311979441904e-12,1.5631940186722204e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
1111100,3.6507805309544055,1.6887951839489883,76.7431960638622,17.84801464289825,4.15087777199201,0.9653615050609065,0.22451223250696395,0.06803778367966327,0,0,99.99914414488029,96.22020129616226,80.77955906093737,53.18351561256159,25.258158479901027,8.004269412526739,1.5060183558736924,0.12699710983366685,7.337953663011376e-05,5.860794833267846e-05,3.5862647038698015e-05,1.5847959787151922e-05,4.840176274001351e-06,9.65483579307147e-07,1.1305590419397049e-07,5.893824095437594e-09,3.5356606531422585e-11,1.8175683180743363e-11,6.139089236967266e-12,1.3358203432289883e-12,1.2789769243681803e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
1111110,3.650927044180451,1.6886173561513615,76.7431960638622,17.84801464289825,4.15087777199201,0.9653615050609065,0.22451223250696395,0.05221436972679043,0.015823413952872845,0,99.99980095545283,96.22271148131347,80.7837549336135,53.1874935406806,25.260468310396718,8.005090384603747,1.506183564646463,0.12701161118499726,7.338289950098442e-05,5.861220788005994e-05,3.586602761629365e-05,1.5849662915456975e-05,4.840730809974048e-06,9.655976782596554e-07,1.1306948977107822e-07,5.8945772707375e-09,3.539923909556819e-11,1.821831574488897e-11,6.181721801112872e-12,1.3784529073745944e-12,1.7053025658242404e-13,-2.842170943040401e-14,-4.263256414560601e-14,-4.263256414560601e-14,
1111111,3.650961118474172,1.6885759929357338,76.7431960638622,17.84801464289825,4.15087777199201,0.9653615050609065,0.22451223250696395,0.05221436972679043,0.012143393593849737,0.0036800203590231085,99.99995370859992,96.2232952701525,80.78473075949518,53.188418679623965,25.26100550314638,8.005281316470075,1.5062219869268318,0.1270149837358474,7.338368158116282e-05,5.861319849032043e-05,3.586681380340906e-05,1.5850058986188742e-05,4.840859773480588e-06,9.65624195714554e-07,1.1307261615911557e-07,5.894719379284652e-09,3.538502824085299e-11,1.8189894035458565e-11,6.16751094639767e-12,1.3500311979441904e-12,1.5631940186722204e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
2000000,3.6718499054487754,1.8721476814120113,39.53230976604174,60.46769023395826,0,0,0,0,0,0,99.23936995791478,94.80946059281038,80.60063756041048,54.77090263783564,27.02395077368709,8.873264186965486,1.7189272686124042,0.14823286490489807,9.679629928882605e-05,7.549127690253954e-05,4.52985965608832e-05,1.9775859527726425e-05,6.000059570965277e-06,1.1928508456549025e-06,1.3945221155609033e-07,7.264233659043384e-09,4.352784799266374e-11,2.2367885321727954e-11,7.545963853772264e-12,1.6200374375330284e-12,1.4210854715202004e-13,-8.526512829121202e-14,-1.1368683772161603e-13,-1.1368683772161603e-13,
2100000,3.802061618537734,1.6916825812834428,39.53230976604174,46.40483807153545,14.062852162422812,0,0,0,0,0,99.82310176243287,97.04035480987757,84.32966451452758,58.30623421778731,29.076782411527674,9.602892381150113,1.865754404284786,0.1611207512040238,9.978500614238328e-05,7.927688383801978e-05,4.830301861602493e-05,2.1289474489094573e-05,6.492889539799762e-06,1.294229917903067e-06,1.5149863941132935e-07,7.896645115579304e-09,4.739320047519868e-11,2.4371615836571436e-11,8.256506589532364e-12,1.8047785488306545e-12,1.9895196601282805e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
